#front;back
両日;りょうじつ<br><br>both days
地;ち<br><br>earth, ground
土地;とち<br><br>land
姉妹;しまい<br><br>sisters
死ぬ;しぬ<br><br>to die
羊毛;ようもう<br><br>wool
天国;てんごく<br><br>kingdom of heaven, heaven
死亡;しぼう<br><br>mortality, death
首;くび<br><br>neck
海外;かいがい<br><br>overseas, foreign, abroad
科学;かがく<br><br>science
お茶;おちゃ<br><br>tea
午後;ごご<br><br>pm, afternoon
今年;ことし, こんねん<br><br>this year
全て;すべて<br><br>all, entire
足首;あしくび<br><br>ankle
全日本;ぜんにほん<br><br>all japan, all of japan
両手;りょうて<br><br>both hands
血;ち<br><br>blood
亡くなる;なくなる<br><br>to pass away, to become deceased
本州;ほんしゅう<br><br>honshuu, honshu
地図;ちず<br><br>map
次;つぎ<br><br>next
中東;ちゅうとう<br><br>middle east
東京;とうきょう<br><br>tokyo, toukyou
安心;あんしん<br><br>relief, peace of mind
正直;しょうじき<br><br>honest
首になる;くびになる<br><br>to get fired, to be fired
長い;ながい<br><br>long
出血;しゅっけつ<br><br>bleeding, bleed
目次;もくじ<br><br>table of contents
南東;なんとう<br><br>southeast
海;うみ<br><br>ocean, sea
羊;ひつじ<br><br>sheep
星;ほし<br><br>star
直る;なおる<br><br>to be fixed, to fix
足す;たす<br><br>to add
年上;としうえ<br><br>older
姉;あね<br><br>older sister, big sister, elder sister
足りない;たりない<br><br>not enough, to not be sufficient, to not be enough, insufficient, not sufficient, to be insufficient
曲;きょく<br><br>tune, piece of music, song, melody
中国;ちゅうごく<br><br>china
州;しゅう<br><br>state, province, county
点;てん<br><br>point, decimal, decimal point
全国;ぜんこく<br><br>nationwide, national, countrywide
三百;さんびゃく<br><br>three hundred
一歩;いっぽ<br><br>one step
車両;しゃりょう<br><br>railroad car, vehicle, railway carriage, railroad carriage, railcar
世の中;よのなか<br><br>society, the world
代える;かえる<br><br>to replace, to substitute, to exchange, to replace something, to substitute something, to exchange something
代わり;かわり<br><br>substitute, replacement
年下;としした<br><br>younger
有名;ゆうめい<br><br>famous
早口;はやくち, はやぐち<br><br>fast talker, fast talking, fast speaker, fast speaking, quick talker
両方;りょうほう<br><br>both, both sides, both ways
手作り;てづくり<br><br>handmade
不安;ふあん<br><br>uneasiness, anxiety, unease
全力;ぜんりょく<br><br>full effort, every effort, best effort, full power
安全;あんぜん<br><br>safety
前;まえ<br><br>front, before
南;みなみ<br><br>south
地下;ちか<br><br>underground
九州;きゅうしゅう<br><br>kyuushuu, kyushu
方向;ほうこう<br><br>direction
明るい;あかるい<br><br>bright
次回;じかい<br><br>next time
国;くに<br><br>country, nation
外国;がいこく<br><br>foreign country
外国人;がいこくじん<br><br>foreign person, foreigner
米国;べいこく<br><br>america, united states, united states of america, usa
今夜;こんや<br><br>tonight, this evening
妹;いもうと<br><br>younger sister, little sister
安い;やすい<br><br>cheap, inexpensive
お姉さん;おねえさん<br><br>older sister, big sister, elder sister
死体;したい<br><br>dead body, corpse, cadaver
早く;はやく<br><br>early, soon, quickly, fast
後で;あとで<br><br>after, afterwards, later
後ろ;うしろ<br><br>behind, back, rear
思う;おもう<br><br>to think
不明;ふめい<br><br>unknown, unclear, uncertain, unsure
名曲;めいきょく<br><br>famous music, famous song, famous tune
有る;ある<br><br>to have, to exist
出来る;できる<br><br>to be able to do
東北;とうほく<br><br>northeast, tohoku, tohoku region, touhoku region, touhoku
東方;とうほう<br><br>eastward, eastern direction
年次;ねんじ<br><br>annual, yearly
歩く;あるく<br><br>to walk
生活;せいかつ<br><br>life, livelihood
直す;なおす<br><br>to fix
茶色;ちゃいろ<br><br>brown, brown colour, brown color, color brown, colour brown
直行;ちょっこう<br><br>nonstop, direct
方言;ほうげん<br><br>dialect
社長;しゃちょう<br><br>company president, manager, director, president of a company
食べる;たべる<br><br>to eat
死;し<br><br>death
仕方がない;しかたがない<br><br>can't be helped, it can't be helped, no use, it's no use, it is no use
〜室;しつ<br><br>room
文化;ぶんか<br><br>culture
東;ひがし<br><br>east
店;みせ<br><br>shop, store
海王星;かいおうせい<br><br>neptune
草地;くさち<br><br>meadow, grassland
水星;すいせい<br><br>mercury
金星;きんせい<br><br>venus
国王;こくおう<br><br>king, monarch, sovereign
土星;どせい<br><br>saturn
夜;よる<br><br>night, evening
午前;ごぜん<br><br>am, morning
四国;しこく<br><br>shikoku
活気;かっき<br><br>energy, liveliness, vigor, spirit
大文字;おおもじ<br><br>capital letters, uppercase letters, capital letter, uppercase letter, uppercase, capital
小文字;こもじ<br><br>lowercase letter, lowercase character, lowercase, lowercase letters, lowercase characters
向く;むく<br><br>to face, to turn toward
地中;ちちゅう<br><br>underground, subterranean
活用;かつよう<br><br>conjugation, practical use
知る;しる<br><br>to know
冬休み;ふゆやすみ<br><br>winter holiday, winter break, winter vacation
平安;へいあん<br><br>peace, tranquility, heian
国民;こくみん<br><br>the people, citizens, nationality
高校;こうこう<br><br>high school
雪;ゆき<br><br>snow
