#front;back
共同;きょうどう<br><br>cooperation, collaboration
共通点;きょうつうてん<br><br>common point, common feature
海岸;かいがん<br><br>seashore, coast, seacoast
高級;こうきゅう<br><br>high class, high grade, high level
作戦;さくせん<br><br>tactics, strategy
洋服;ようふく<br><br>western clothing, western style clothes
追う;おう<br><br>to chase, to follow
気持ちいい;きもちいい<br><br>good feeling, feeling good, feels good
平仮名;ひらがな<br><br>hiragana
苦しむ;くるしむ<br><br>to suffer, to hurt
特別;とくべつ<br><br>special
初回;しょかい<br><br>the first time, first time
注意;ちゅうい<br><br>caution, attention
戦車;せんしゃ<br><br>tank
教育;きょういく<br><br>education
仲良く;なかよく<br><br>friendly, good terms
仲;なか<br><br>relationship, relation
不便;ふべん<br><br>inconvenient, not convenient
時々;ときどき<br><br>sometimes, at times
意見;いけん<br><br>opinion, view
共有;きょうゆう<br><br>shared, co ownership, joint ownership, share
仲直り;なかなおり<br><br>reconciliation, make peace with
神社;じんじゃ<br><br>shinto shrine
洋食;ようしょく<br><br>western food, western style food
洋風;ようふう<br><br>western style
伝える;つたえる<br><br>to transmit, to tell
洋室;ようしつ<br><br>western style room
見送る;みおくる<br><br>to see off
待ちぼうけ;まちぼうけ<br><br>stood up, waiting in vain
運命;うんめい<br><br>fate, destiny
老人;ろうじん<br><br>old person, elderly person
集中する;しゅうちゅうする<br><br>to concentrate
指;ゆび<br><br>finger
使い方;つかいかた<br><br>how to use, way of using
電波;でんぱ<br><br>reception, radio wave, electromagnetic wave
最低;さいてい<br><br>the lowest, the worst, lowest, worst, nasty, terrible
小指;こゆび<br><br>little finger, pinky finger, pinky
注文;ちゅうもん<br><br>order, request
味方;みかた<br><br>ally, supporter, friend
発売中;はつばいちゅう<br><br>now on sale, now for sale, currently on sale
最初;さいしょ<br><br>the first, first, beginning, outset
仲良し;なかよし<br><br>good friend, intimate friend, close friend
争う;あらそう<br><br>to quarrel, to compete, to argue
勝ち;かち<br><br>victory, win, a victory, a win
決定する;けっていする<br><br>to decide, to determine
合わせる;あわせる<br><br>to join together, to unify together, to unite, to match, to unify, to bring together, to join
波;なみ<br><br>wave
労働者;ろうどうしゃ<br><br>laborer, blue collar worker, manual laborer, labourer, manual labourer
味;あじ<br><br>taste, flavor, flavour
良い;よい, いい<br><br>good
注ぐ;そそぐ, つぐ<br><br>to pour
別人;べつじん<br><br>changed man, different person, different man, changed person, new man
主位;しゅい<br><br>leading person, first place, leading position, first position, head position
働く;はたらく<br><br>to work, to labor, to labour
仲間;なかま<br><br>companion, comrade, associate
受付;うけつけ<br><br>receptionist, reception
昔;むかし<br><br>long ago, long time ago
別の;べつの<br><br>separate, different, another, separate thing, different thing, another thing
低い;ひくい<br><br>low, short
屋上;おくじょう<br><br>rooftop, housetop
丁度いい;ちょうどいい<br><br>just right, exactly right
仕事;しごと<br><br>job, work, occupation
戦争;せんそう<br><br>war
初級;しょきゅう<br><br>beginner level, elementary level, beginning level
放送する;ほうそうする<br><br>to broadcast
苦手;にがて<br><br>hard to deal with, weak point, poor at, not very good at, bad at
負け犬;まけいぬ<br><br>loser
乗り場;のりば<br><br>bus stop, taxi stand, train platform, place for boarding vehicles
競争;きょうそう<br><br>competition
一位;いちい<br><br>first place, first ranked
便利;べんり<br><br>convenient, handy
便所;べんじょ<br><br>toilet, lavatory, restroom, bathroom
開放する;かいほうする<br><br>to fling open, to throw open, to liberate
上級;じょうきゅう<br><br>advanced level, high grade, advanced grade, high level
育つ;そだつ<br><br>to be raised
労働;ろうどう<br><br>manual labor, manual labour
公共;こうきょう<br><br>public, community
意外;いがい<br><br>unexpected
別々;べつべつ<br><br>separately, individually
別に;べつに<br><br>not particularly, separately, not really, not exactly, not especially
成功;せいこう<br><br>success
苦労;くろう<br><br>hardship, troubles
指す;さす<br><br>to point, to point at
意味;いみ<br><br>meaning
友好;ゆうこう<br><br>friendship
好き;すき<br><br>like, fondness, love, to like
成る;なる<br><br>to become
拾う;ひろう<br><br>to pick up, to find, to gather
指定する;していする<br><br>to appoint, to assign, to designate, to specify
放す;はなす<br><br>to release, to let go, to release something, to let go of something
特に;とくに<br><br>especially, particularly
神;かみ<br><br>god, gods
競う;きそう<br><br>to compete
親指;おやゆび<br><br>thumb
秒;びょう<br><br>second
中級;ちゅうきゅう<br><br>intermediate level, intermediate rank, intermediate grade
努力;どりょく<br><br>great effort, exertion, grueling effort
中指;なかゆび<br><br>middle finger, second finger
通う;かよう<br><br>to commute, to attend, to go back and forth
用意;ようい<br><br>preparation, arrangements, provision, getting ready
気付く;きづく<br><br>to realize, to notice, to realise
支度;したく<br><br>preparation, arrangements
予め;あらかじめ<br><br>beforehand, in advance, previously, ahead of time
利く;きく<br><br>to be effective, to show effect
文字通り;もじどおり<br><br>literal, literally, to the letter
相図;あいず<br><br>sign, signal
待合;まちあい<br><br>meeting place, assignation place, waiting room, lounge, tea house
新た;あらた<br><br>new, fresh, novel, newly, freshly
西洋;せいよう<br><br>the west, western countries
初歩;しょほ<br><br>basics, rudiments, elements, abcs
別;べつ<br><br>different, separate
心持;こころもち<br><br>feeling, mood, somewhat, slightly
昔話;むかしばなし<br><br>folklore, legend
見事;みごと<br><br>splendid, magnificent, beautiful, admirable, praiseworthy act, feat
命令;めいれい<br><br>order, command
不良;ふりょう<br><br>bad, substandard, delinquent
戦い;たたかい<br><br>battle, fight, conflict
〜位;い<br><br>rank
命;いのち<br><br>life, lifeforce
戦場;せんじょう<br><br>battlefield, battleground
神道;しんとう<br><br>shinto, shintou
太平洋;たいへいよう<br><br>pacific ocean
文章;ぶんしょう<br><br>article, sentence, composition
空港;くうこう<br><br>airport
童話;どうわ<br><br>children's story, fairy tale
動く;うごく<br><br>to move, to operate
根本;こんぽん<br><br>root, source, origin, foundation
会社員;かいしゃいん<br><br>company employee
広島;ひろしま<br><br>hiroshima
登山;とざん<br><br>mountain climbing
社員;しゃいん<br><br>employee, staff, company employee, company staff
二階;にかい<br><br>second floor, floor two, second story, second storey
歯;は<br><br>tooth, teeth
田代島;たしろじま<br><br>tashirojima
短い;みじかい<br><br>short
心配事;しんぱいごと<br><br>cares, worries, troubles
一流;いちりゅう<br><br>first rate, first class, top notch, top grade
地球;ちきゅう<br><br>the earth, the globe, earth
運;うん<br><br>luck
虫歯;むしば<br><br>cavity, decayed tooth
音読み;おんよみ<br><br>chinese reading, on'yomi
第二章;だいにしょう<br><br>chapter two, second chapter
歯医者;はいしゃ<br><br>dentist
運転手;うんてんしゅ<br><br>driver
運動;うんどう<br><br>exercise
京都;きょうと<br><br>kyoto, kyouto
深夜;しんや<br><br>middle of the night, late at night
根;ね<br><br>root
悲しい;かなしい<br><br>sad
短期;たんき<br><br>short period, short term
最深;さいしん<br><br>deepest, the deepest
終わり;おわり<br><br>the end, end, the finish, finish
温泉;おんせん<br><br>hot springs, onsen
泉;いずみ<br><br>spring, fountain
下着;したぎ<br><br>underwear
温かい;あたたかい<br><br>warm
三番目;さんばんめ<br><br>third thing, the third
温度;おんど<br><br>temperature
飲み物;のみもの<br><br>beverage, drink
母親;ははおや<br><br>mother
落とす;おとす<br><br>to drop something, to let fall, to drop, to fall
息;いき<br><br>breath
第一位;だいいちい<br><br>first place, first rank
本流;ほんりゅう<br><br>mainstream
悪い;わるい<br><br>bad, substandard
血族;けつぞく<br><br>blood relative
鳴る;なる<br><br>to ring
四十二階;よんじゅうにかい<br><br>forty second floor, floor forty two, 42nd floor, floor 42, forty second story, forty second storey
気温;きおん<br><br>temperature
利息;りそく<br><br>interest
暑い;あつい<br><br>hot weather, hot
期待;きたい<br><br>expectation, expect, anticipate
悪女;あくじょ<br><br>evil woman, wicked woman, bad woman
祭;まつり<br><br>festival
勝手;かって<br><br>as one pleases, one's own convenience, one's own way, one's way
集まり;あつまり<br><br>gathering, meeting, assembly, party, collection, get together
着く;つく<br><br>to arrive
見返る;みかえる<br><br>to look back at, to look back on
太陽;たいよう<br><br>sun, the sun, sol
消化;しょうか<br><br>digestion
流す;ながす<br><br>to flow, to flush, to drain, to pour, to float, to wash away, to set afloat
二倍;にばい<br><br>double, two times, twice
家庭;かてい<br><br>family, household
登る;のぼる<br><br>to climb, to ascend
民族;みんぞく<br><br>ethnic group, ethnicity, race
開く;あく<br><br>to open, to be open
店員;てんいん<br><br>shop staff, store staff, store employee, shop employee, clerk, salesperson, shop assistant
商売;しょうばい<br><br>business, commerce
短刀;たんとう<br><br>short sword, dagger, tanto
聞こえる;きこえる<br><br>hearable, audible, to be able to hear, to be heard, to be audible, can hear
〜階;かい<br><br>floor, story, storey
水着;みずぎ<br><br>swim suit, swimsuit, bathing suit, swimwear, swimming suit
