#front;back
顔面;がんめん<br><br>face of a person, person's face, face
箱;はこ<br><br>box
仏典;ぶってん<br><br>buddhist scriptures, buddhist writing
証明;しょうめい<br><br>proof, verification
折り目;おりめ<br><br>fold, crease
外面;がいめん<br><br>exterior
遠い;とおい<br><br>far, far away
不完全;ふかんぜん<br><br>incomplete, imperfect
折り紙;おりがみ<br><br>origami, art of paper folding
園;えん, その<br><br>garden, park
保証;ほしょう<br><br>guarantee
阪神;はんしん<br><br>hanshin
保険;ほけん<br><br>insurance
私立大学;しりつだいがく<br><br>private college, private university
画面;がめん<br><br>screen, monitor
〜弁;べん<br><br>dialect
関西;かんさい<br><br>kansai
作品;さくひん<br><br>a work, work, production
仮面;かめん<br><br>mask
生保;せいほ<br><br>life insurance
証人;しょうにん<br><br>witness
前面;ぜんめん<br><br>front, front side
面;めん<br><br>surface, face
笑顔;えがお<br><br>smile, smiling face
急に;きゅうに<br><br>suddenly, immediately, abruptly
残す;のこす<br><br>to leave behind, to leave over
証言;しょうげん<br><br>testimony
希望する;きぼうする<br><br>to request, to wish
要求する;ようきゅうする<br><br>to demand
関する;かんする<br><br>to be connected to, to be related
妥協する;だきょうする<br><br>to compromise
存じる;ぞんじる<br><br>to know, to be aware of
笑う;わらう<br><br>to laugh
真実;しんじつ<br><br>truth, reality
生存;せいぞん<br><br>existence, life, survival
急ぐ;いそぐ<br><br>to hurry
美術館;びじゅつかん<br><br>museum, art museum, art gallery
急;きゅう<br><br>urgent, sudden, abrupt
危険;きけん<br><br>risky, unsafe, dangerous, danger, peril, hazard
保守的;ほしゅてき<br><br>conservative
特急;とっきゅう<br><br>limited express train, limited express
政治;せいじ<br><br>politics, government
ゴミ箱;ごみばこ, ゴミばこ<br><br>garbage can, garbage bin, trash can, trash bin, waste can, waste bin, rubbish bin
真っ黒;まっくろ<br><br>pitch black, pure black
冒険;ぼうけん<br><br>adventure
公園;こうえん<br><br>public park, park
保存;ほぞん<br><br>preserve, preservation, conservation
専門;せんもん<br><br>specialty, speciality, area of study, major
自動車;じどうしゃ<br><br>automobile
商品;しょうひん<br><br>merchandise
不幸;ふこう<br><br>unhappiness, misfortune
料理人;りょうりにん<br><br>a cook, cook, chef
入門;にゅうもん<br><br>admission, entrance
弁当;べんとう<br><br>bento, box lunch
字典;じてん<br><br>character dictionary, kanji dictionary
関係;かんけい<br><br>connection, relation
辞書;じしょ<br><br>dictionary
残品;ざんぴん<br><br>unsold merchandise, remaining stock, unsold stock, remaining merchandise, unsold product, remaining product
取る;とる<br><br>to take
急行;きゅうこう<br><br>express
固める;かためる<br><br>to make hard, to harden
地面;じめん<br><br>ground, earth's surface
不治;ふじ, ふち <br><br>incurability, incurable
写真;しゃしん<br><br>photo, photograph, picture
日光浴;にっこうよく<br><br>sunbathe
浴びる;あびる<br><br>to bathe
東京弁;とうきょうべん<br><br>tokyo dialect
幸福;こうふく<br><br>happiness
仏像;ぶつぞう<br><br>image of buddha
幸せ;しあわせ<br><br>happiness
門;もん<br><br>gate
食料品;しょくりょうひん<br><br>groceries
教科書;きょうかしょ<br><br>textbook
辞典;じてん<br><br>dictionary, lexicon
技術;ぎじゅつ<br><br>art, craft, technique
係わる;かかわる<br><br>to be involved with, to be connected with, to be affected, to have to do with
保持;ほじ<br><br>retention, maintenance, preservation
保つ;たもつ<br><br>to preserve, to keep, to maintain
古典的;こてんてき<br><br>classical
事典;じてん<br><br>encyclopedia
冗談;じょうだん<br><br>joke
卒業する;そつぎょうする<br><br>to graduate
卒業式;そつぎょうしき<br><br>graduation ceremony, graduation
品;ひん, しな<br><br>article, item, goods
新品;しんぴん<br><br>brand new, new item, new product
喜ぶ;よろこぶ<br><br>to rejoice, to become happy
守る;まもる<br><br>to protect, to defend
留守;るす<br><br>absence, away from home
政府;せいふ<br><br>government
急死;きゅうし<br><br>sudden death
曜日;ようび<br><br>day of the week, weekday
治す;なおす<br><br>to cure, to heal
全治;ぜんじ, ぜんち<br><br>complete recovery, healed, fully recovered, fully recover, healed completely, heal completely, completely cured, fully cured, fully healed
明治;めいじ<br><br>meiji era, meiji emperor, meiji
留学;りゅうがく<br><br>study abroad, studying abroad
自動的;じどうてき<br><br>automatic
証;あかし<br><br>evidence, proof
大阪;おおさか<br><br>osaka, oosaka
図書館;としょかん<br><br>library
芸術家;げいじゅつか<br><br>artist
辞める;やめる<br><br>to quit, to resign
世辞;せじ<br><br>flattery, compliment
書く;かく<br><br>to write
関心;かんしん<br><br>concern, interest
基本的;きほんてき<br><br>fundamentals, basics, fundamental, standard, basic
記念日;きねんび<br><br>holiday, anniversary, memorial day
動物園;どうぶつえん<br><br>zoo, zoological gardens, menagerie
私自身;わたしじしん, わたくしじしん<br><br>personally, as for me, myself
荷物;にもつ<br><br>luggage, baggage, load
場面;ばめん<br><br>scene, setting, locale
幸運;こううん<br><br>good luck, fortune
危ない;あぶない<br><br>dangerous
遠く;とおく<br><br>far away, distant, at a distance, distant place, by far
下品;げひん<br><br>crude, vulgarity
面白い;おもしろい<br><br>interesting, amusing, funny
折れる;おれる<br><br>to break, to snap, to fracture
治安;ちあん<br><br>public order, public safety, public peace
不合格;ふごうかく<br><br>fail a test, failure, fail an exam
愛国心;あいこくしん<br><br>patriotism
