#front;back
嘆息;たんそく<br><br>sigh, lament
緊張する;きんちょうする<br><br>to stress, to stress out, to be nervous
帯;おび<br><br>belt
幾つ;いくつ<br><br>how many
豪華;ごうか<br><br>luxurious, splendid
雄犬;おすいぬ<br><br>male dog
壊れ物;こわれもの<br><br>fragile thing, breakables, fragile item
人脈;じんみゃく<br><br>personal connections, network
粉状;ふんじょう<br><br>powdered
既に;すでに<br><br>as mentioned before, as mentioned previously, already, previously
総理大臣;そうりだいじん<br><br>prime minister
富士山;ふじさん<br><br>mt fuji, mount fuji
既決;きけつ<br><br>decided, settled
富裕;ふゆう<br><br>wealthy, affluent
花粉症;かふんしょう<br><br>hay fever
粉;こな<br><br>powder, flour
尋問;じんもん<br><br>questioning
催促する;さいそくする<br><br>to urge, to press for, to demand
探究;たんきゅう<br><br>research
華やか;はなやか<br><br>showy
怖がる;こわがる<br><br>to be scared, to be afraid of
富む;とむ<br><br>to be rich, to be wealthy
壊れる;こわれる<br><br>to be broken, to get broken
菜食;さいしょく<br><br>vegetarianism, vegetarian diet
散る;ちる<br><br>to be scattered, to get scattered, to scatter
思い詰める;おもいつめる<br><br>to think hard
ハチの巣;はちのす, ハチのす<br><br>beehive
平均;へいきん<br><br>average, mean
大陸;たいりく<br><br>continent
幾度;いくど<br><br>how many times, how often
墓地;ぼち<br><br>graveyard, cemetery
中華;ちゅうか<br><br>chinese
通貨;つうか<br><br>currency
直径;ちょっけい<br><br>diameter
恐れる;おそれる<br><br>to fear, to dread
陸軍;りくぐん<br><br>land army, army
積む;つむ<br><br>to pile things up, to accumulate
航空券;こうくうけん<br><br>airplane ticket
泥水;でいすい, どろみず<br><br>muddy water
倉;くら<br><br>warehouse
除外;じょがい<br><br>exception
画廊;がろう<br><br>picture gallery
真似;まね<br><br>impersonation
離婚;りこん<br><br>divorce
融合;ゆうごう<br><br>fusion
印鑑;いんかん<br><br>seal
監督;かんとく<br><br>supervision, direction, director
普段;ふだん<br><br>usual, ordinary, habitual, always, everyday
血脈;けつみゃく<br><br>blood vessel, blood relationship
孫;まご<br><br>grandchild
墓;はか<br><br>grave
巣;す<br><br>nest, habitat
半径;はんけい<br><br>radius
富;とみ<br><br>wealth
道徳;どうとく<br><br>morals, morality
倉庫;そうこ<br><br>storehouse, warehouse
地帯;ちたい<br><br>zone, district
子孫;しそん<br><br>descendant
解散;かいさん<br><br>breakup, dissolution
棒;ぼう<br><br>pole, wooden pole, rod
既存;きそん, きぞん<br><br>existing
迷わす;まよわす<br><br>to lead astray, to perplex
編者;へんしゃ<br><br>editor
主催する;しゅさいする<br><br>to sponsor, to promote
鼻詰まり;はなづまり<br><br>stuffy nose, blocked nose
見詰める;みつめる<br><br>to stare at
絶やす;たやす<br><br>to kill off, to let die out
融資;ゆうし<br><br>financing, loan
分離;ぶんり<br><br>segregation, separation
離れる;はなれる<br><br>to separate, to leave
編集;へんしゅう<br><br>edit
嘆く;なげく<br><br>to lament, to grieve
普通;ふつう<br><br>normal, normally
編む;あむ<br><br>to knit
感嘆符;かんたんふ<br><br>exclamation mark, exclamation point
外務大臣;がいむだいじん<br><br>minister of foreign affairs
地下街;ちかがい<br><br>underground shopping mall, underground shopping center, shopping centre
監視;かんし<br><br>observation, monitor, keep watch over
廊下;ろうか<br><br>corridor, hallway
鑑定;かんてい<br><br>expert opinion
巣立ち;すだち<br><br>leave the nest, become independent
掃除;そうじ<br><br>cleaning
除く;のぞく<br><br>to exclude
尋ねる;たずねる<br><br>to inquire, to ask
幾ら;いくら<br><br>how much
幾何学;きかがく<br><br>geometry
掃く;はく<br><br>to sweep
泥;どろ<br><br>mud
驚嘆;きょうたん<br><br>admiration, wonder
クモの巣;くものす, クモのす<br><br>spiderweb
経路;けいろ<br><br>route, course
救急車;きゅうきゅうしゃ<br><br>ambulance
救う;すくう<br><br>to rescue
散歩;さんぽ<br><br>a stroll, a walk, stroll, walk
探偵;たんてい<br><br>private detective, private investigator, detective, sleuth, investigator
山脈;さんみゃく<br><br>mountain range
野菜;やさい<br><br>vegetable
探す;さがす<br><br>to look for, to search for
似る;にる<br><br>to resemble
均等;きんとう<br><br>equality, uniformity, evenness
均整;きんせい<br><br>symmetry, balance
徳川;とくがわ<br><br>tokugawa, tokugawa shogun
徳島県;とくしまけん<br><br>tokushima prefecture
内偵;ないてい<br><br>scouting, reconnaissance, secret investigation
貨物;かもつ<br><br>freight, cargo
麦粉;むぎこ<br><br>wheat flour
