#front;back
貴重品;きちょうひん<br><br>valuables, treasures
象牙;ぞうげ<br><br>ivory, elephant tusk
伸びる;のびる<br><br>to be stretched, to get stretched
降りる;おりる<br><br>to get off
及ぶ;およぶ<br><br>to reach, to amount to
親子丼;おやこどんぶり, おやこどん<br><br>parent and child bowl, parent and child rice bowl
吐き気;はきけ<br><br>nausea
奴ら;やつら<br><br>those dudes, those guys
電磁場;でんじば<br><br>electromagnetic field
降参する;こうさんする<br><br>to surrender
放射能;ほうしゃのう<br><br>radioactivity, radiation
甘党;あまとう<br><br>sweet tooth
損害する;そんがいする<br><br>to damage
枝豆;えだまめ<br><br>edamame, steamed soybeans
豆腐;とうふ<br><br>tofu, toufu
姓名;せいめい<br><br>full name
縄;なわ<br><br>rope
受諾;じゅだく<br><br>acceptance
債券;さいけん<br><br>bond
許諾;きょだく<br><br>consent
承諾;しょうだく<br><br>consent, agreement
諾否;だくひ<br><br>consent or refusal, yes or no
献金;けんきん<br><br>donation, offering
勤め;つとめ<br><br>duties
貿易;ぼうえき<br><br>trade, commerce
甘く見る;あまくみる<br><br>to not take seriously, to take lightly
将来;しょうらい<br><br>future
一般;いっぱん<br><br>general, common
沖合;おきあい<br><br>open sea
将軍;しょうぐん<br><br>shogun, general, commander, shougun
復旧;ふっきゅう<br><br>restoration, recovery
主将;しゅしょう<br><br>commander, commander in chief, team captain
連盟;れんめい<br><br>league, federation
核実験;かくじっけん<br><br>nuclear test, nuclear bomb test, nuclear testing
盟約;めいやく<br><br>pledge, pact
遺産;いさん<br><br>inheritance
薦め;すすめ<br><br>recommendation, advice
歌舞伎;かぶき<br><br>kabuki
甘い;あまい<br><br>sweet
核;かく<br><br>nucleus
国債;こくさい<br><br>national debt, bonds
換える;かえる<br><br>to exchange
継父;けいふ<br><br>step father
換気;かんき<br><br>ventilation
変換;へんかん<br><br>conversion, change
口紅;くちべに<br><br>lipstick
旧姓;きゅうせい<br><br>maiden name
奈良;なら<br><br>nara
摘発する;てきはつする<br><br>to unmask, to expose
津波;つなみ<br><br>tsunami, tidal wave
医療;いりょう<br><br>medical treatment
及第;きゅうだい<br><br>passing an exam, make the grade, passing the exam
治療;ちりょう<br><br>medical therapy, medical treatment
信頼;しんらい<br><br>reliance, trust
継ぐ;つぐ<br><br>to inherit
維持;いじ<br><br>maintenance, support
廃止;はいし<br><br>abolition, abolishment
献血;けんけつ<br><br>blood donation
舞踏;ぶとう<br><br>dancing
大将;たいしょう<br><br>general, admiral, head, leader
馬鹿;ばか<br><br>idiot, dumb, fool, stupid, absurd
吐き出す;はきだす<br><br>to spit out, to disgorge, to spew out
核兵器;かくへいき<br><br>nuclear weapons
指摘;してき<br><br>pointing out, identification
廃れる;すたれる<br><br>to become obsolete
踏む;ふむ<br><br>to step on, to tread on
依存;いぞん, いそん<br><br>dependence, reliance
舞う;まう<br><br>to dance, to flutter
維新;いしん<br><br>restoration, meiji restoration
超〜;ちょう<br><br>ultra, super, really
超音波;ちょうおんぱ<br><br>ultrasonic wave
頼む;たのむ<br><br>to ask for, to request, to entrust, to rely on
依頼;いらい<br><br>request, entrust
鹿児島県;かごしまけん<br><br>kagoshima prefecture
鹿;しか<br><br>deer
牙;きば<br><br>fang
超自然的;ちょうしぜんてき<br><br>supernatural
超音速;ちょうおんそく<br><br>supersonic speed
遺体;いたい<br><br>corpse, remains
普及;ふきゅう<br><br>diffusion
縄文;じょうもん<br><br>jomon people, joumon people, joumon, jomon, ancient japanese
神奈川県;かながわけん<br><br>kanagawa prefecture
継承;けいしょう<br><br>succession, inheritance
同盟;どうめい<br><br>alliance
廃絶;はいぜつ<br><br>extinction
摘む;つむ<br><br>to pluck, to pick, to prune
幅;はば<br><br>width
遺失;いしつ<br><br>loss
指揮者;しきしゃ<br><br>commander
源氏物語;げんじものがたり<br><br>tale of genji, the tale of genji
舞台;ぶたい<br><br>stage
遺伝;いでん<br><br>heredity
汚い;きたない<br><br>dirty, filthy, foul, unclean
大幅;おおはば<br><br>big, large, drastic, substantial, major
債権;さいけん<br><br>credit, claim, debt, liabilities
舞;まい<br><br>dancing, dance
誤り;あやまり<br><br>mistake, error, slip, bug, fault
依然;いぜん<br><br>still, as yet, as it was
刑期;けいき<br><br>prison term
爆弾;ばくだん<br><br>bomb
汁物;しるもの<br><br>soups, soup
二日酔い;ふつかよい<br><br>hangover
死刑;しけい<br><br>death penalty
陣営;じんえい<br><br>camp
抗戦;こうせん<br><br>resistance
爆撃;ばくげき<br><br>bombing
葬式;そうしき<br><br>funeral
自己紹介;じこしょうかい<br><br>self introduction
抗体;こうたい<br><br>antibody
患う;わずらう<br><br>to be afflicted, to be afflicted with illness, to be sick
弁償;べんしょう<br><br>reimbursement, compensation
募る;つのる<br><br>to appeal for, to invite, to raise
応募;おうぼ<br><br>application, subscription
遺跡;いせき<br><br>ruins, historic ruins, remains, historic remains
船酔い;ふなよい<br><br>sea sickness
彼女;かのじょ<br><br>she, girlfriend
兆候;ちょうこう<br><br>sign, indication
対向する;たいこうする<br><br>to counter
抱く;だく, いだく<br><br>to hug, to embrace
葬る;ほうむる<br><br>to bury, to inter
臨む;のぞむ<br><br>to face
聴く;きく<br><br>to listen to, to hear, to listen
