#front;back
潜水艦;せんすいかん<br><br>submarine
雇用者;こようしゃ<br><br>employer, employee
炭;すみ<br><br>charcoal
埋め合わせる;うめあわせる<br><br>to compensate for
鉄鉱;てっこう<br><br>iron ore
思い遣り;おもいやり<br><br>consideration, sympathy
生き甲斐;いきがい<br><br>reason for living, something worth living for
伺う;うかがう<br><br>to implore, to inquire, to ask
徹夜;てつや<br><br>all night, sleepless night, all nighter
拠点;きょてん<br><br>position, location
証拠;しょうこ<br><br>physical evidence, evidence, proof
根拠;こんきょ<br><br>basis, grounds
儀式;ぎしき<br><br>ceremony
虎;とら<br><br>tiger
焼酎;しょうちゅう<br><br>shochu, shouchuu, japanese liquor
艦船;かんせん<br><br>warship, ocean vessel
軍艦;ぐんかん<br><br>battleship
〜畑;はたけ, はた<br><br>field, crop
包む;つつむ, くるむ<br><br>to wrap
破片;はへん<br><br>fragment
包丁;ほうちょう<br><br>kitchen knife, cutlery, carving knife
炭鉱;たんこう<br><br>coal mine, coal pit
果樹;かじゅ<br><br>fruit tree
偽る;いつわる<br><br>to lie, to cheat, to deceive
至る;いたる<br><br>to arrive at
侵す;おかす<br><br>to invade, to violate, to intrude
更衣室;こういしつ<br><br>changing room, locker room, dressing room
廃墟;はいきょ<br><br>ruins, abandoned building
蜂;はち<br><br>bee, hornet, wasp
蜂蜜;はちみつ<br><br>honey
躍り;おどり<br><br>jumping, leaping
措置;そち<br><br>measures, steps
瀬;せ<br><br>rapids, shallows, current
辞儀する;じぎする<br><br>to bow
拳銃;けんじゅう<br><br>revolver, pistol, handgun
早瀬;はやせ<br><br>swift currents
樹皮;じゅひ<br><br>tree bark, bark
措辞;そじ<br><br>wording
拳;こぶし<br><br>fist
徹する;てっする<br><br>to devote oneself, to sink in, to penetrate
徹底;てってい<br><br>thoroughness, completeness
廃棄;はいき<br><br>annulment, disposal
蜜;みつ<br><br>honey
偽装;ぎそう<br><br>camouflage
仁;じん<br><br>humanity
放棄;ほうき<br><br>resignation, abandonment
埋もれる;うもれる<br><br>to get buried, to be buried
麦畑;むぎばたけ<br><br>wheat field, barley field
撤兵;てっぺい<br><br>withdrawal of troops
炭素;たんそ<br><br>carbon
拠る;よる<br><br>to be due to, to be caused by
仁義;じんぎ<br><br>humanity and justice, duty
祝儀;しゅうぎ<br><br>celebration, congratulations
謙遜;けんそん<br><br>humble, humility, modesty
充電する;じゅうでんする<br><br>to charge a battery, to recharge, to recharge a battery
瀬戸;せと<br><br>seto, strait, channel
社会福祉;しゃかいふくし<br><br>social welfare
偽;にせ<br><br>fake, imitation
侵害;しんがい<br><br>infringement, violation
高瀬;たかせ<br><br>shallows
潜む;ひそむ<br><br>to lurk, to lie dormant
石炭;せきたん<br><br>coal
田畑;たはた<br><br>field, field of rice, field of crops
原潜;げんせん<br><br>nuclear submarine
渋谷;しぶや<br><br>shibuya
忠誠;ちゅうせい<br><br>loyalty
包囲;ほうい<br><br>siege, encirclement
誠意;せいい<br><br>sincerity, good faith
投棄;とうき<br><br>abandonment
潜水;せんすい<br><br>diving
偽造;ぎぞう<br><br>forgery
礼儀;れいぎ<br><br>manners, courtesy, etiquette
植樹;しょくじゅ<br><br>tree planting
脱衣;だつい<br><br>undressing
航空母艦;こうくうぼかん<br><br>aircraft carrier
蛍;ほたる<br><br>firefly, lightning bug, glowworm
鉱物;こうぶつ<br><br>mineral
撤去;てっきょ<br><br>withdrawal, repeal
岐阜県;ぎふけん<br><br>gifu prefecture
鉱業;こうぎょう<br><br>mining industry
潜在意識;せんざいいしき<br><br>subconscious
撤回;てっかい<br><br>withdrawal, repeal
鉱山;こうざん<br><br>a mine, mine
衣;ころも<br><br>clothes, garment
艦隊;かんたい<br><br>naval fleet, armada
やり甲斐;やりがい<br><br>worth doing
原爆;げんばく<br><br>atomic bomb
鉱石;こうせき<br><br>ore, mineral
冬至;とうじ<br><br>winter solstice
拳骨;げんこつ<br><br>clenched fist, knuckles
手の甲;てのこう<br><br>back of one's hand
御免なさい;ごめんなさい<br><br>sorry, i beg your pardon
控える;ひかえる<br><br>to abstain
侵攻;しんこう<br><br>invasion
必至;ひっし<br><br>inevitable, necessary, foregone
至上;しじょう<br><br>supremacy
誠;まこと<br><br>sincerity, truth
誠実;せいじつ<br><br>sincere, honest, faithful
郷里;きょうり<br><br>birthplace, hometown
帰郷する;ききょうする<br><br>to return to one's hometown
侵入;しんにゅう<br><br>intrusion, penetration
葬儀;そうぎ<br><br>funeral
群れる;むれる<br><br>to flock, to crowd
衣服;いふく<br><br>clothes, clothing, garment
御手洗;おてあらい<br><br>restroom, bathroom, toilet
夏至;げし<br><br>summer solstice
渋々;しぶしぶ<br><br>reluctantly, unwillingly
甲斐性;かいしょう<br><br>resourcefulness, competence
故郷;こきょう, ふるさと<br><br>hometown, birthplace
逃れる;のがれる<br><br>to escape
袋;ふくろ<br><br>sack, bag
統括;とうかつ<br><br>unification
枢軸;すうじく<br><br>axle, pivot
総括;そうかつ<br><br>synthesis, recap
揺る;ゆる<br><br>to shake, to jolt
括弧;かっこ<br><br>parentheses, brackets
通信網;つうしんもう<br><br>communications network
掛軸;かけじく<br><br>hanging scroll
宿泊;しゅくはく<br><br>lodging, stay the night
親不孝;おやふこう<br><br>lack of filial piety, disobedience to parents
哲学;てつがく<br><br>philosophy
吹き出す;ふきだす<br><br>to begin to blow, to breathe out, to burst out laughing
吹き込む;ふきこむ<br><br>to blow in
口笛を吹く;くちぶえをふく<br><br>to whistle
挑戦;ちょうせん<br><br>a challenge, challenge
分析;ぶんせき<br><br>analysis
解析;かいせき<br><br>analysis
到着;とうちゃく<br><br>arrival
握力;あくりょく<br><br>handgrip, grip of the hand
不孝者;ふこうもの<br><br>disobedient child, unfilial child
克明;こくめい<br><br>detailed
ゴミ袋;ゴミぶくろ, ごみぶくろ<br><br>garbage bag, garbage sack
範;はん<br><br>example, model
焦点;しょうてん<br><br>focal point, focus
暫く;しばらく<br><br>in a little while, in a short while, in a moment
芝草;しばくさ<br><br>lawn, turf
発掘;はっくつ<br><br>excavation
斎場;さいじょう<br><br>funeral hall
双子;ふたご<br><br>twins
肝炎;かんえん<br><br>hepatitis
福袋;ふくぶくろ<br><br>mystery bag, mystery sack
網;あみ<br><br>net, netting, web
不透明;ふとうめい<br><br>opacity
堅い;かたい<br><br>solid, tough
綱;つな<br><br>rope, sumo belt
