#front;back
阻害;そがい<br><br>obstruction, inhibition
気泡;きほう<br><br>air bubble
庄園;しょうえん<br><br>manor
土俵;どひょう<br><br>arena, sumo arena
幽霊;ゆうれい<br><br>ghost, specter, spectre, phantom
瞳孔;どうこう<br><br>pupil, pupillary
眼孔;がんこう<br><br>eye socket
瞬き;まばたき<br><br>a blink, a wink, wink, blink
零下;れいか<br><br>below zero, sub zero
魔法;まほう<br><br>magic, witchcraft
瞬時;しゅんじ<br><br>moment, instant
涼風;りょうふう<br><br>cool breeze, refreshing breeze
泡;あわ<br><br>bubble, foam
穏やか;おだやか<br><br>calm, mild
俵;たわら<br><br>sack, straw bag, bale
担架;たんか<br><br>stretcher, litter
帝国;ていこく<br><br>empire
誇張;こちょう<br><br>exaggeration
鈍感;どんかん<br><br>thickheadedness, insensitivity
黙る;だまる<br><br>to shut up, to be silent
瞬く;またたく<br><br>to blink, to flicker, to twinkle
二十歳;はたち<br><br>twenty years old
寸暇;すんか<br><br>moment's leisure, free minute
不穏;ふおん<br><br>unrest, turbulence
発泡;はっぽう<br><br>foaming
稲穂;いなほ<br><br>head of rice, ear of rice
幽閉;ゆうへい<br><br>confinement, imprisonment
病棟;びょうとう<br><br>hospital ward
吾輩;わがはい<br><br>i, me, myself
零点;れいてん<br><br>zero points, zero marks
魔;ま<br><br>devil, demon, evil spirit
癖;くせ<br><br>bad habit, habit
皇帝;こうてい<br><br>emperor
焦り;あせり<br><br>impatience
帝;みかど<br><br>japanese emperor, emperor of japan
鍛える;きたえる<br><br>to forge, to temper, to train, to discipline
囲碁;いご<br><br>go, go board game
黙殺;もくさつ<br><br>ignoring
一瞬;いっしゅん<br><br>an instant, a moment
碁会所;ごかいじょ<br><br>go parlor, go playing parlor
紛れもない;まぎれもない<br><br>certain, unmistaken, obvious
素粒子;そりゅうし<br><br>elementary particle, particle
綿布;めんぷ<br><br>cotton cloth, cotton material
白菊;しらぎく<br><br>white chrysanthemum
穏当;おんとう<br><br>proper, reasonable
お握り;おにぎり<br><br>onigiri, rice ball
揚げ出し;あげだし<br><br>deep fried
租税;そぜい<br><br>taxes, taxation
租界;そかい<br><br>concession, settlement
叫び;さけび<br><br>shout, scream, a shout, a scream
