#front;back
邸内;ていない<br><br>grounds, premises
私邸;してい<br><br>private residence
塚;つか<br><br>mound
慈愛;じあい<br><br>affection, kindness, love
浦;うら<br><br>bay, inlet
脂肪;しぼう<br><br>fat, grease, blubber
近郊;きんこう<br><br>suburbs, outskirts
釈明;しゃくめい<br><br>explanation, vindication
貞操;ていそう<br><br>chastity, virtue, fidelity
蓮花;れんげ<br><br>lotus flower, lotus
軒;のき<br><br>eaves, stand in a row, stand side by side
覆う;おおう<br><br>to cover, to hide, to conceal
貞節;ていせつ<br><br>chastity, virtue, fidelity
不貞;ふてい<br><br>unfaithful, infidelity
官邸;かんてい<br><br>official residence
柔軟;じゅうなん<br><br>flexible, pliable
軟禁;なんきん<br><br>house arrest
公邸;こうてい<br><br>official residence
邸宅;ていたく<br><br>mansion, residence
郊外;こうがい<br><br>suburb, outskirts
郡;ぐん<br><br>district, county
注釈;ちゅうしゃく<br><br>notes, comment, remark, annotation
会釈;えしゃく<br><br>nod, greeting, bow
解釈;かいしゃく<br><br>explanation, interpretation
隅;すみ<br><br>corner, nook, recess
片隅;かたすみ<br><br>corner, nook
四隅;よすみ<br><br>four corners
隅々;すみずみ<br><br>nooks, corners
〜隻;せき<br><br>ship counter, counter for ships
頂く;いただく<br><br>to humbly receive, to humbly accept, to humbly eat, to humbly drink
山頂;さんちょう<br><br>summit
襟;えり<br><br>collar, lapel, neck
偉人;いじん<br><br>great person, great man, hero
瓶;びん<br><br>bottle
偉大;いだい<br><br>greatness, grand, outstanding
洗濯機;せんたくき, せんたっき<br><br>washing machine, laundry machine
勘定;かんじょう<br><br>calculation, counting, allowance, payment, bill, check
喚起;かんき<br><br>awaken, rouse, evoke, excite
召す;めす<br><br>to humbly call, to humbly invite, to humbly eat, to humbly drink
喚く;わめく<br><br>to shout, to scream
召喚;しょうかん<br><br>summon, summons
洗濯屋;せんたくや<br><br>laundromat
愛媛県;えひめけん<br><br>ehime prefecture
慈悲;じひ<br><br>compassion, benevolence, charity, mercy
沸点;ふってん<br><br>boiling point
慈善;じぜん<br><br>charity, philanthropy
挟む;はさむ<br><br>to insert, to put between
枯渇;こかつ<br><br>drying up, dry up, running dry
玄米;げんまい<br><br>unpolished rice, unmilled rice, brown rice
枯れる;かれる<br><br>to wither, to die
浸す;ひたす<br><br>to soak, to dip, to drench
渦;うず<br><br>whirlpool, eddy, vortex
渦中;かちゅう<br><br>vortex, maelstrom
瓶詰;びんづめ<br><br>bottling, bottled
潤い;うるおい<br><br>moisture, damp, wetness
洗濯粉;せんたくこ<br><br>detergent
乾燥;かんそう<br><br>dehydration, dryness
焦燥;しょうそう<br><br>impatience, uneasy, irritation
農耕;のうこう<br><br>farming, agriculture
玄関;げんかん<br><br>entranceway, entry hall, foyer, entryway
耕作;こうさく<br><br>cultivation, farming
〜軒;けん<br><br>house counter, counter for houses
花瓶;かびん<br><br>vase, flower vase
空き瓶;あきびん, からびん<br><br>empty bottle
火炎瓶;かえんびん<br><br>molotov cocktail
聡明;そうめい<br><br>wisdom, sagacity
耕す;たがやす<br><br>to till, to plow, to plough, to cultivate
耕地;こうち<br><br>arable land
苗;なえ<br><br>seedling
聡い;さとい<br><br>smart, sensitive, discerning
肯定;こうてい<br><br>positive, affirmation
樹脂;じゅし<br><br>resin
皮膚;ひふ<br><br>skin
苗字;みょうじ<br><br>surname, family name
蓮;はす<br><br>sacred lotus
偉い;えらい<br><br>great, excellent, admirable, remarkable
沸く;わく<br><br>to boil, to grow hot, to get excited
孤児;こじ<br><br>orphan
孤独;こどく<br><br>isolation, loneliness, solitude
恒常;こうじょう<br><br>constant, routine
没落;ぼつらく<br><br>ruin, fall, collapse
猟;りょう<br><br>hunting, game
猟師;りょうし<br><br>hunter, huntsman
発祥;はっしょう<br><br>origin
秩序;ちつじょ<br><br>order, regularity, system, method
擁する;ようする<br><br>to have, to possess
〜貫;かん<br><br>sushi pieces counter, counter for pieces of sushi
茨;いばら<br><br>thorn, briar, wild rose
擁立;ようりつ<br><br>backing, support
貫通;かんつう<br><br>pierce, penetrate, perforate
貫徹;かんてつ<br><br>realization, realisation, penetration, accomplishment
没後;ぼつご<br><br>after death, posthumously
遭遇;そうぐう<br><br>encounter
待遇;たいぐう<br><br>treatment, reception
優遇;ゆうぐう<br><br>favorable treatment, hospitality, warm reception, favourable treatment
覇気;はき<br><br>ambition, aspiration
鰐蟹;わにかに<br><br>wani kani
不倫;ふりん<br><br>adultery
倫理;りんり<br><br>ethics, morals
偏る;かたよる<br><br>to be biased, to be one sided, to be partial, to be prejudiced
偏見;へんけん<br><br>prejudice
偏狭;へんきょう<br><br>narrow minded, intolerance
恒星;こうせい<br><br>star
陳列;ちんれつ<br><br>exhibition, display, show
陳情;ちんじょう<br><br>petition, appeal
必須;ひっす<br><br>indispensable, required, essential
颯と;さっと<br><br>quickly, suddenly
噴射;ふんしゃ<br><br>jet, spray, injection, jet propulsion
噴水;ふんすい<br><br>water fountain
芳香;ほうこう<br><br>perfume, fragrance, aroma
噴出;ふんしゅつ<br><br>spewing, gushing, spouting, eruption
