#front;back
窒素;ちっそ<br><br>nitrogen
寂しい;さびしい, さみしい<br><br>lonely, lonesome, solitary, desolate
窮状;きゅうじょう<br><br>distress, wretched condition
〜拍;はく<br><br>beat
搾乳;さくにゅう<br><br>milking
蝶;ちょう<br><br>butterfly
呉服;ごふく<br><br>draperies, kimono fabric, cloth
庶民的;しょみんてき<br><br>popular, folk, working class
凛々しい;りりしい<br><br>gallant, manly, distinguished, noble
師匠;ししょう<br><br>master, teacher
嘉日;かじつ<br><br>auspicious day, lucky day
弦;つる, げん<br><br>bowstring, string
怠け者;なまけもの<br><br>lazy person
摂取;せっしゅ<br><br>intake, absorption
恭しい;うやうやしい<br><br>respectful, reverent
弦楽;げんがく<br><br>string music
満悦;まんえつ<br><br>delight, rapture
愚か;おろか<br><br>foolish, stupid
穀類;こくるい<br><br>grains
搾る;しぼる<br><br>to squeeze, to press, to wring
搾取;さくしゅ<br><br>exploitation
摂氏;せっし<br><br>centigrade, celsius
智;ち<br><br>wisdom
摂理;せつり<br><br>divine providence, providence
柴犬;しばいぬ, しばけん<br><br>shiba inu, shiba dog, shiba
裁縫;さいほう<br><br>sewing, needlework
錯乱;さくらん<br><br>confusion, distraction, derangement
柴;しば<br><br>firewood, brushwood
錯覚;さっかく<br><br>optical illusion, hallucination
交錯;こうさく<br><br>mixture, blending, complication
倒錯;とうさく<br><br>perversion
丘陵;きゅうりょう<br><br>hill
靖国神社;やすくにじんじゃ<br><br>yasukuni shrine
飽和;ほうわ<br><br>saturation
飽食;ほうしょく<br><br>gluttony, satiation, engorgement
墓碑;ぼひ<br><br>gravestone, tombstone
米穀;べいこく<br><br>rice
大尉;たいい<br><br>captain
遥か;はるか<br><br>far away, distant, far off
尚更;なおさら<br><br>all the more, still less
束縛;そくばく<br><br>restraint, shackles, restriction, confinement, binding
凡庸;ぼんよう<br><br>mediocre, banality, common
意匠;いしょう<br><br>design
凡人;ぼんじん<br><br>ordinary person, average person, mediocre
拍手;はくしゅ<br><br>applause, clapping hands
脈拍;みゃくはく<br><br>pulse
非凡;ひぼん<br><br>prodigy, rare, unique, extraordinary
匠;たくみ<br><br>artisan, mechanic, carpenter, workman
巨匠;きょしょう<br><br>master, maestro
平凡;へいぼん<br><br>common, ordinary, mediocre
呆れる;あきれる<br><br>to be amazed, to be shocked, to be astonished
呉越同舟;ごえつどうしゅう<br><br>bitter enemies in the same boat, classic rivals, traditional rivals
主宰;しゅさい<br><br>supervision, chairmanship
静寂;せいじゃく<br><br>silence, still, quiet
少尉;しょうい<br><br>second lieutenant, ensign
碑文;ひぶん<br><br>inscription, epitaph
宰相;さいしょう<br><br>prime minister
中尉;ちゅうい<br><br>first lieutenant, lieutenant
尚且つ;なおかつ<br><br>and yet, besides
疲弊;ひへい<br><br>exhaustion, impoverishment
弊害;へいがい<br><br>evil, harmful
記念碑;きねんひ<br><br>monument
猶予;ゆうよ<br><br>extension, delay, postpone
洪水;こうずい<br><br>flood
疎か;おろか, おろそか<br><br>neglect, negligence, carelessness
窒息;ちっそく<br><br>suffocation, choking
方向音痴;ほうこうおんち<br><br>no sense of direction, bad sense of direction
穀物;こくもつ<br><br>grain, cereal
縫う;ぬう<br><br>to sew, to stitch
縫製;ほうせい<br><br>sewing
舶来;はくらい<br><br>imported
歌謡曲;かようきょく<br><br>popular song
管轄;かんかつ<br><br>jurisdiction, control
所轄;しょかつ<br><br>jurisdiction
直轄;ちょっかつ<br><br>direct control
無報酬;むほうしゅう<br><br>free of charge, gratuitous, without pay
錯誤;さくご<br><br>mistake, error
石碑;せきひ<br><br>stone monument
飽きる;あきる<br><br>to get tired of, to lose interest in
窮地;きゅうち<br><br>dilemma, predicament
窮屈;きゅうくつ<br><br>tight, narrow, stiff, rigid
窮乏;きゅうぼう<br><br>poverty, destitution
困窮;こんきゅう<br><br>poverty, distress
紳士;しんし<br><br>gentleman
船舶;せんぱく<br><br>ship, vessel
怠い;だるい<br><br>sluggish, feel heavy, languid, dull
縛る;しばる<br><br>to tie, to bind
逸れる;それる, はぐれる<br><br>to stray, to turn away, to digress, to deviate
敢然;かんぜん<br><br>boldly, bravely, fearlessly
盲点;もうてん<br><br>blind spot
受胎;じゅたい<br><br>conception, fertilization, fertilisation
楓;ふう, かえで<br><br>maple, maple tree
堕胎;だたい<br><br>abortion, feticide
膜;まく<br><br>membrane, film
盲腸;もうちょう<br><br>appendix
甲乙;こうおつ<br><br>a and b, first and second
乙;おつ<br><br>second, b, latter, defendant
凹凸;おうとつ<br><br>uneven, rough, rugged
烏;からす<br><br>crow, raven
弔意;ちょうい<br><br>condolence, sympathy, mourning
弔辞;ちょうじ<br><br>memorial address, funeral address
敢行;かんこう<br><br>decisive action, perform, dare, carry out
惜しい;おしい<br><br>regrettable, disappointing, precious, dear
盲人;もうじん<br><br>blind person
色盲;しきもう<br><br>color blindness, colour blindness
粗塩;あらじお, あらしお<br><br>sea salt, coarse salt
網羅;もうら<br><br>comprising, including, covering, encompassing
羅列;られつ<br><br>enumeration
羅針盤;らしんばん<br><br>compass
胎児;たいじ<br><br>embryo, fetus, foetus
胎盤;たいばん<br><br>placenta, afterbirth
腸;ちょう, わた, はらわた<br><br>guts, bowels, intestines
海賊;かいぞく<br><br>pirate
酵素;こうそ<br><br>enzyme
坪;つぼ<br><br>tsubo, two mat area
奉行;ぶぎょう<br><br>magistrate, shogunate administrator
熊之実;くまのみ<br><br>clownfish, anemone fish
